Journal,Publisher,ISSN,eISSN,IF,zky
Bosnian Journal of Basic Medical Sciences,ASSOC BASIC MEDICAL SCI FEDERATION BOSNIA & HERZEGOVINA SARAJEVO,1512-8601,1840-4812,3.1,NA
Research and Reports in Tropical Medicine,DOVE MEDICAL PRESS LTD,1179-7282,1179-7282,3.1,4
Medical Gas Research,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2045-9912,2045-9912,3,3
Diseases,MDPI,N/A,2079-9721,2.9,4
EUROPEAN JOURNAL OF MEDICAL RESEARCH,BMC,0949-2321,2047-783X,2.8,3
EXPERIMENTAL BIOLOGY AND MEDICINE,FRONTIERS MEDIA SA,1535-3702,1535-3699,2.8,4
Innate Immunity,SAGE PUBLICATIONS LTD,1753-4259,1753-4267,2.8,4
Laboratory Animal Research,SPRINGERNATURE,1738-6055,2233-7660,2.7,4
Vaccine: X,ELSEVIER,2590-1362,2590-1362,2.7,4
KAOHSIUNG JOURNAL OF MEDICAL SCIENCES,WILEY,1607-551X,2410-8650,2.7,4
INDIAN JOURNAL OF MEDICAL RESEARCH,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0971-5916,0971-5916,2.7,4
Fatigue-Biomedicine Health and Behavior,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2164-1846,2164-1862,2.6,4
Biomed Research International,HINDAWI LTD,2314-6133,2314-6141,2.6,4
STEM CELLS AND DEVELOPMENT,"MARY ANN LIEBERT, INC",1547-3287,1557-8534,2.5,4
ATLA-ALTERNATIVES TO LABORATORY ANIMALS,SAGE PUBLICATIONS LTD,0261-1929,2632-3559,2.5,4
Advances in Medical Sciences,ELSEVIER URBAN & PARTNER SP Z O O,1896-1126,1898-4002,2.5,4
EXPERIMENTAL HEMATOLOGY,ELSEVIER SCIENCE INC,0301-472X,1873-2399,2.5,4
JOURNAL OF INVESTIGATIVE MEDICINE,SAGE PUBLICATIONS LTD,1081-5589,1708-8267,2.5,4
CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,"MARY ANN LIEBERT, INC",1084-9785,1557-8852,2.4,4
Journal of Cardiovascular Translational Research,SPRINGER,1937-5387,1937-5395,2.4,4
JOURNAL OF BONE AND MINERAL METABOLISM,SPRINGER JAPAN KK,0914-8779,1435-5604,2.4,4
Experimental and Therapeutic Medicine,SPANDIDOS PUBL LTD,1792-0981,1792-1015,2.4,4
CURRENT MEDICAL RESEARCH AND OPINION,TAYLOR & FRANCIS LTD,0300-7995,1473-4877,2.4,4
Future Science OA,FUTURE SCI LTD,2056-5623,2056-5623,2.4,4
Biomedical Reports,SPANDIDOS PUBL LTD,2049-9434,2049-9442,2.3,4
LARYNGOSCOPE,WILEY,0023-852X,1531-4995,2.2,3
MEDICAL SCIENCE MONITOR,"INT SCIENTIFIC INFORMATION, INC",N/A,1643-3750,2.2,4
Clinical Trials,SAGE PUBLICATIONS LTD,1740-7745,1740-7753,2.2,3
Journal of Biomedical Research,NANJING MEDICAL UNIV,1674-8301,1876-4819,2.2,4
CURRENT MOLECULAR MEDICINE,BENTHAM SCIENCE PUBL LTD,1566-5240,1875-5666,2.2,4
MEDICAL HYPOTHESES,ELSEVIER,0306-9877,1532-2777,2.1,4
Iranian Journal of Basic Medical Sciences,MASHHAD UNIV MED SCIENCES,2008-3866,2008-3874,2.1,4
Journal of Clinical and Translational Science,CAMBRIDGE UNIV PRESS,N/A,2059-8661,2.1,4
Advances in Clinical and Experimental Medicine,WROCLAW MEDICAL UNIV,1899-5276,2451-2680,2.1,4
Contemporary Clinical Trials,ELSEVIER SCIENCE INC,1551-7144,1559-2030,2,3
Current Medical Science,SPRINGER,2096-5230,2523-899X,2,4
Trials,BMC,N/A,1745-6215,2,4
Journal of Applied Biomedicine,UNIV SOUTH BOHEMIA,1214-021X,1214-0287,2,4
Discovery Medicine,DISCOVERY MEDICINE,1539-6509,1944-7930,2,4
Biomarkers in Medicine,FUTURE MEDICINE LTD,1752-0363,1752-0371,1.9,4
Interactive Journal of Medical Research,"JMIR PUBLICATIONS, INC",1929-073X,1929-073X,1.9,4
STATISTICS IN MEDICINE,WILEY,0277-6715,1097-0258,1.8,3
Experimental Neurobiology,"KOREAN SOC BRAIN & NEURAL SCIENCE, KOREAN SOC NEURODEGENERATIVE DISEASE",1226-2560,2093-8144,1.8,4
BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,ASSOC BRAS DIVULG CIENTIFICA,0100-879X,1414-431X,1.8,4
European Journal of Translational Myology,PAGEPRESS PUBL,2037-7452,2037-7460,1.8,4
IN VIVO,INT INST ANTICANCER RESEARCH,0258-851X,1791-7549,1.8,4
Cold Spring Harbor Molecular Case Studies,"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT",2373-2873,2373-2873,1.8,NA
American Journal of Translational Research,E-CENTURY PUBLISHING CORP,1943-8141,1943-8141,1.7,4
TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,TOHOKU UNIV MEDICAL PRESS,0040-8727,1349-3329,1.7,4
Medical Mycology Case Reports,ELSEVIER,2211-7539,2211-7539,1.6,4
Lymphatic Research and Biology,"MARY ANN LIEBERT, INC",1539-6851,1557-8585,1.6,4
CURRENT THERAPEUTIC RESEARCH-CLINICAL AND EXPERIMENTAL,ELSEVIER SCIENCE INC,0011-393X,1879-0313,1.6,4
Medical Science Monitor Basic Research,"INT SCIENTIFIC INFORMATION, INC",2325-4416,2325-4394,1.5,4
MELANOMA RESEARCH,LIPPINCOTT WILLIAMS & WILKINS,0960-8931,1473-5636,1.5,4
Pilot and Feasibility Studies,BMC,N/A,2055-5784,1.5,4
International Journal of Molecular and Cellular Medicine,CELLULAR & MOLECULAR BIOLOGY RESEARCH CENTER,2251-9637,2251-9645,1.5,4
Contemporary Clinical Trials Communications,ELSEVIER INC,N/A,2451-8654,1.4,4
JOURNAL OF INTERNATIONAL MEDICAL RESEARCH,SAGE PUBLICATIONS LTD,0300-0605,1473-2300,1.4,4
Clinical Teacher,WILEY,1743-4971,1743-498X,1.4,4
Open Access Journal of Clinical Trials,DOVE MEDICAL PRESS LTD,1179-1519,1179-1519,1.4,4
Metabolic Syndrome and Related Disorders,"MARY ANN LIEBERT, INC",1540-4196,1557-8518,1.3,4
SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION,TAYLOR & FRANCIS LTD,0036-5513,1502-7686,1.3,4
BIOMEDICAL RESEARCH-TOKYO,BIOMEDICAL RESEARCH PRESS LTD,0388-6107,1880-313X,1.3,4
Clinical and Investigative Medicine,CANADIAN SOC CLINICAL INVESTIGATION,0147-958X,1488-2353,1.2,4
KEIO JOURNAL OF MEDICINE,KEIO JOURNAL MEDICINE,0022-9717,1880-1293,1.1,4
Malaysian Journal of Medical Sciences,PENERBIT UNIV SAINS MALAYSIA,1394-195X,2180-4303,1.1,4
Translational Medicine at UniSa,UNIV STUDI SALERNO,2239-9747,2239-9747,1.1,4
Sovremennye Tehnologii v Medicine,NIZHNIY NOVGOROD STATE MEDICAL ACAD,2076-4243,2076-4243,1.1,4
Biomedical and Biotechnology Research Journal,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2588-9834,2588-9842,1,4
African Journal of Laboratory Medicine,AOSIS,2225-2002,2225-2010,1,4
Aerospace Medicine and Human Performance,AEROSPACE MEDICAL ASSOC,2375-6314,2375-6322,0.9,4
Nagoya Journal of Medical Science,"NAGOYA UNIV, SCH MED",2186-3326,0027-7622,0.9,4
YONAGO ACTA MEDICA,TOTTORI UNIV MEDICAL PRESS,0513-5710,1346-8049,0.9,4
BULLETIN OF EXPERIMENTAL BIOLOGY AND MEDICINE,SPRINGER,0007-4888,1573-8221,0.9,4
PERSPECTIVES IN BIOLOGY AND MEDICINE,JOHNS HOPKINS UNIV PRESS,0031-5982,1529-8795,0.8,4
JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS,BIOLIFE SAS,0393-974X,1724-6083,0.8,NA
JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION,PAKISTAN MEDICAL ASSOC,0030-9982,0030-9982,0.8,4
Undersea and Hyperbaric Medicine,UNDERSEA & HYPERBARIC MEDICAL SOC INC,1066-2936,N/A,0.7,4
BIOMEDICAL PAPERS-OLOMOUC,"PALACKY UNIV, MEDICAL FAC",1213-8118,1804-7521,0.7,4
Advanced Biomedical Research,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2277-9175,2277-9175,0.7,4
Indonesian Biomedical Journal,PRODIA EDUCATION & RESEARCH INST,2355-9179,2355-9179,0.7,4
JOURNAL OF MEDICAL INVESTIGATION,UNIV TOKUSHIMA SCH MEDICINE,1343-1420,1349-6867,0.7,4
Biomedical Research and Therapy,BIOMEDPRESS,2198-4093,2198-4093,0.6,4
ACTA MEDICA OKAYAMA,OKAYAMA UNIV MED SCHOOL,0386-300X,0386-300X,0.6,4
M S-MEDECINE SCIENCES,EDP SCIENCES S A,0767-0974,1958-5381,0.6,4
Revista Romana de Medicina de Laborator,SCIENDO,1841-6624,2284-5623,0.5,4
Galen Medical Journal,SALVIA MEDICAL SCIENCES LTD,2588-2767,2322-2379,0.5,4
Precision Medical Sciences,WILEY,2642-2514,2642-2514,0.4,4
ANNALES DE BIOLOGIE CLINIQUE,JOHN LIBBEY EUROTEXT LTD,0003-3898,1950-6112,0.4,4
Asian Biomedicine,WALTER DE GRUYTER GMBH,1905-7415,1875-855X,0.4,4
AIMS Medical Science,AMER INST MATHEMATICAL SCIENCES-AIMS,2375-1576,2375-1576,0.4,4
Clinical and Experimental Health Sciences,"MARMARA UNIV, INST HEALTH SCIENCES",2459-1459,2459-1459,0.3,4
Makara Journal of Health Research,UNIV INDONESIA,2356-3664,2356-3656,0.3,4
World of Medicine and Biology,SCIENTIFIC SOC ANATOMISTS HISTOLOGISTS & EMBRYOLOGISTS UKRAINE,2079-8334,2079-8334,0.3,4
International Journal of Biomedicine,INT MEDICAL RESEARCH & DEVELOPMENT CORP,2158-0510,2158-0529,0.2,4
Postepy Higieny I Medycyny Doswiadczalnej,"POLISH ACAD SCIENCES, INST IMMUNOL & EXP THERAPY",0032-5449,1732-2693,0.2,4
International Journal of Clinical and Experimental Medicine,E-CENTURY PUBLISHING CORP,1940-5901,1940-5901,0.2,4
Cyprus Journal of Medical Sciences,GALENOS PUBL HOUSE,2149-7893,2536-507X,0.1,4
International Journal of Ayurvedic Medicine,AYURVEDA SAHITI PRABHA,0976-5921,0976-5921,0.1,4
INVESTIGACION CLINICA,INST INVESTIGACION CLINICA,0535-5133,2477-9393,0.1,4
Yakut Medical Journal,RUSSIAN ACAD SCIENCES SIBERIAN BRANCH,1813-1905,2312-1017,<0.1,4
Actualizaciones en Osteologia,ASOC ARGENTINA OSTEOLOGIA & METABOLISMO MINERAL,1669-8975,1669-8983,<0.1,4
Biomolecules and Biomedicine,ASSOC BASIC MEDICAL SCI FEDERATION BOSNIA & HERZEGOVINA SARAJEVO,2831-0896,2831-090X,N/A,4
AMERICAN JOURNAL OF TRANSPLANTATION,ELSEVIER SCIENCE INC,1600-6135,1600-6143,8.9,1
JOURNAL OF HEART AND LUNG TRANSPLANTATION,ELSEVIER SCIENCE INC,1053-2498,1557-3117,6.4,1
TRANSPLANTATION,LIPPINCOTT WILLIAMS & WILKINS,0041-1337,1534-6080,5.5,2
LIVER TRANSPLANTATION,LIPPINCOTT WILLIAMS & WILKINS,1527-6465,1527-6473,5.1,2
NEPHROLOGY DIALYSIS TRANSPLANTATION,OXFORD UNIV PRESS,0931-0509,1460-2385,4.8,2
BONE MARROW TRANSPLANTATION,SPRINGERNATURE,0268-3369,1476-5365,4.5,2
Transplantation and Cellular Therapy,ELSEVIER SCIENCE INC,2666-6375,2666-6367,3.6,3
Transplantation Reviews,ELSEVIER SCIENCE INC,0955-470X,N/A,3.6,2
XENOTRANSPLANTATION,WILEY,0908-665X,1399-3089,3.3,4
CELL TRANSPLANTATION,SAGE PUBLICATIONS INC,0963-6897,1555-3892,3.2,4
ASAIO JOURNAL,LIPPINCOTT WILLIAMS & WILKINS,1058-2916,1538-943X,3.1,3
TRANSPLANT INTERNATIONAL,FRONTIERS MEDIA SA,0934-0874,1432-2277,2.7,3
Transplant Infectious Disease,WILEY,1398-2273,1399-3062,2.6,4
STEM CELLS AND DEVELOPMENT,"MARY ANN LIEBERT, INC",1547-3287,1557-8534,2.5,4
Current Transplantation Reports,SPRINGERNATURE,N/A,2196-3029,2.4,4
ARTIFICIAL ORGANS,WILEY,0160-564X,1525-1594,2.2,4
Transplantation Direct,LIPPINCOTT WILLIAMS & WILKINS,2373-8731,2373-8731,2,4
CLINICAL TRANSPLANTATION,WILEY,0902-0063,1399-0012,1.9,4
Current Opinion in Organ Transplantation,LIPPINCOTT WILLIAMS & WILKINS,1087-2418,1531-7013,1.8,4
Transplant Immunology,ELSEVIER,0966-3274,1878-5492,1.6,4
INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,SAGE PUBLICATIONS LTD,0391-3988,1724-6040,1.4,4
PEDIATRIC TRANSPLANTATION,WILEY,1397-3142,1399-3046,1.2,4
Annals of Transplantation,"INT SCIENTIFIC INFORMATION, INC",1425-9524,N/A,1.1,4
JOURNAL OF ARTIFICIAL ORGANS,SPRINGER JAPAN KK,1434-7229,1619-0904,1.1,4
TRANSPLANTATION PROCEEDINGS,ELSEVIER SCIENCE INC,0041-1345,1873-2623,0.8,4
Experimental and Clinical Transplantation,BASKENT UNIV,1304-0855,2146-8427,0.7,4
Progress in Transplantation,SAGE PUBLICATIONS INC,1526-9248,2164-6708,0.6,4
International Journal of Organ Transplantation Medicine,AVICENNA ORGAN TRANSPLANT CENTER,2008-6490,2008-6482,0.3,4
Indian Journal of Transplantation,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2212-0017,2212-0025,0.2,4
Vestnik Transplantologii i Iskusstvennyh Organov,FEDERAL RESEARCH CENTER TRANSPLANTOLOGY & ARTIFICIAL ORGANS V I SHUMAKOV,1995-1191,2412-6160,0.2,4
Transplant Research and Risk Management,DOVE MEDICAL PRESS LTD,1179-1616,1179-1616,0.1,4
NATURE REVIEWS GENETICS,NATURE PORTFOLIO,1471-0056,1471-0064,39.1,1
NATURE GENETICS,NATURE PORTFOLIO,1061-4036,1546-1718,31.8,1
TRENDS IN ECOLOGY & EVOLUTION,CELL PRESS,0169-5347,1872-8383,16.7,1
TRENDS IN GENETICS,CELL PRESS,0168-9525,1362-4555,13.7,1
MOLECULAR THERAPY,CELL PRESS,1525-0016,1525-0024,12.1,1
GENOMICS PROTEOMICS & BIOINFORMATICS,ELSEVIER,1672-0229,2210-3244,11.5,2
Cell Genomics,ELSEVIER,2666-979X,2666-979X,11.1,1
MOLECULAR BIOLOGY AND EVOLUTION,OXFORD UNIV PRESS,0737-4038,1537-1719,11,1
Genome Medicine,BMC,1756-994X,1756-994X,10.4,1
GENOME BIOLOGY,BMC,1474-760X,1474-760X,10.1,1
Annual Review of Genetics,ANNUAL REVIEWS,0066-4197,1545-2948,8.7,1
AMERICAN JOURNAL OF HUMAN GENETICS,CELL PRESS,0002-9297,1537-6605,8.1,1
Annual Review of Genomics and Human Genetics,ANNUAL REVIEWS,1527-8204,1545-293X,7.7,1
Horticulture Research,OXFORD UNIV PRESS INC,2662-6810,2052-7276,7.6,1
GENES & DEVELOPMENT,"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT",0890-9369,1549-5477,7.5,1
ONCOGENE,SPRINGERNATURE,0950-9232,1476-5594,6.9,1
Genes & Diseases,KEAI PUBLISHING LTD,2352-4820,2352-3042,6.9,2
GENETICS IN MEDICINE,ELSEVIER SCIENCE INC,1098-3600,1530-0366,6.7,1
Journal of Genetics and Genomics,SCIENCE PRESS,1673-8527,1873-5533,6.6,1
Biotechnology and Genetic Engineering Reviews,TAYLOR & FRANCIS LTD,0264-8725,2046-5556,6.5,3
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,ELSEVIER,1383-5742,1388-2139,6.4,2
Environmental Microbiome,BMC,N/A,2524-6372,6.3,2
GENOME RESEARCH,"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT",1088-9051,1549-5469,6.2,1
Molecular Autism,BMC,2040-2392,2040-2392,6.2,1
Circulation-Genomic and Precision Medicine,LIPPINCOTT WILLIAMS & WILKINS,2574-8300,2574-8300,6,2
GENES AND IMMUNITY,SPRINGERNATURE,1466-4879,1476-5470,5,3
Biology of Sex Differences,BMC,N/A,2042-6410,4.9,2
Frontiers in Genome Editing,FRONTIERS MEDIA SA,N/A,2673-3439,4.9,2
Clinical Epigenetics,BMC,1868-7075,1868-7083,4.8,2
CANCER GENE THERAPY,SPRINGERNATURE,0929-1903,1476-5500,4.8,3
Environmental Epigenetics,OXFORD UNIV PRESS,2058-5888,2058-5888,4.8,2
JOURNAL OF MOLECULAR MEDICINE-JMM,SPRINGER HEIDELBERG,0946-2716,1432-1440,4.8,3
npj Genomic Medicine,NATURE PORTFOLIO,N/A,2056-7944,4.7,2
Mobile DNA,BMC,1759-8753,1759-8753,4.7,3
GENE THERAPY,SPRINGERNATURE,0969-7128,1476-5462,4.6,3
THEORETICAL AND APPLIED GENETICS,SPRINGER,0040-5752,1432-2242,4.4,1
Epigenetics & Chromatin,BMC,N/A,1756-8935,4.2,2
JOURNAL OF INHERITED METABOLIC DISEASE,WILEY,0141-8955,1573-2665,4.2,2
HUMAN GENE THERAPY,"MARY ANN LIEBERT, INC",1043-0342,1557-7422,4.1,3
Molecular Diagnosis & Therapy,ADIS INT LTD,1177-1062,1179-2000,4.1,3
PLoS Genetics,PUBLIC LIBRARY SCIENCE,1553-7404,1553-7404,4,2
International Journal of Neonatal Screening,MDPI,N/A,2409-515X,4,2
NAR Genomics and Bioinformatics,OXFORD UNIV PRESS,N/A,2631-9268,4,4
Microbial Genomics,MICROBIOLOGY SOC,2057-5858,2057-5858,4,2
Plant Genome,WILEY,N/A,1940-3372,3.9,2
DNA RESEARCH,OXFORD UNIV PRESS,1340-2838,1756-1663,3.9,2
FUNCTIONAL & INTEGRATIVE GENOMICS,SPRINGER HEIDELBERG,1438-793X,1438-7948,3.9,2
MITOCHONDRION,ELSEVIER SCI LTD,1567-7249,1872-8278,3.9,3
CRISPR Journal,"MARY ANN LIEBERT, INC",2573-1599,2573-1602,3.8,4
HUMAN GENETICS,SPRINGER,0340-6717,1432-1203,3.8,2
Human Genomics,BMC,1473-9542,1479-7364,3.8,2
CURRENT GENE THERAPY,BENTHAM SCIENCE PUBL LTD,1566-5232,1875-5631,3.8,4
EUROPEAN JOURNAL OF HUMAN GENETICS,SPRINGERNATURE,1018-4813,1476-5438,3.7,2
MOLECULAR GENETICS AND METABOLISM,ACADEMIC PRESS INC ELSEVIER SCIENCE,1096-7192,1096-7206,3.7,2
Phenomics,SPRINGERNATURE,2730-583X,2730-5848,3.7,2
CURRENT OPINION IN GENETICS & DEVELOPMENT,CURRENT BIOLOGY LTD,0959-437X,1879-0380,3.7,2
GENETICS SELECTION EVOLUTION,BMC,0999-193X,1297-9686,3.6,1
JOURNAL OF MEDICAL GENETICS,BMJ PUBLISHING GROUP,0022-2593,1468-6244,3.6,2
MOLECULAR PHYLOGENETICS AND EVOLUTION,ACADEMIC PRESS INC ELSEVIER SCIENCE,1055-7903,1095-9513,3.6,1
Neurology-Genetics,LIPPINCOTT WILLIAMS & WILKINS,2376-7839,2376-7839,3.6,3
Non-Coding RNA,MDPI,N/A,2311-553X,3.6,3
BMC GENOMICS,BMC,1471-2164,1471-2164,3.5,2
GENOMICS,ACADEMIC PRESS INC ELSEVIER SCIENCE,0888-7543,1089-8646,3.4,2
GENETICS,GENETICS SOCIETY AMERICA,0016-6731,1943-2631,3.4,3
Orphanet Journal of Rare Diseases,BMC,N/A,1750-1172,3.4,2
Human Genetics and Genomics Advances,ELSEVIER,2666-2477,2666-2477,3.3,2
HUMAN MUTATION,WILEY-HINDAWI,1059-7794,1098-1004,3.3,2
Genes and Nutrition,BMC,1555-8932,1865-3499,3.3,3
Forensic Science International-Genetics,ELSEVIER IRELAND LTD,1872-4973,1878-0326,3.2,2
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,SPRINGER/PLENUM PUBLISHERS,1058-0468,1573-7330,3.2,3
JOURNAL OF GENE MEDICINE,WILEY,1099-498X,1521-2254,3.2,4
Epigenetics Insights,SAGE PUBLICATIONS LTD,2516-8657,2516-8657,3.2,4
HEREDITY,SPRINGERNATURE,0018-067X,1365-2540,3.1,2
EVOLUTION,OXFORD UNIV PRESS,0014-3820,1558-5646,3.1,2
Genome Biology and Evolution,OXFORD UNIV PRESS,1759-6653,1759-6653,3.1,3
HUMAN MOLECULAR GENETICS,OXFORD UNIV PRESS,0964-6906,1460-2083,3.1,2
GENES CHROMOSOMES & CANCER,WILEY,1045-2257,1098-2264,3.1,2
JOURNAL OF HEREDITY,OXFORD UNIV PRESS INC,0022-1503,1465-7333,3,2
DNA REPAIR,ELSEVIER,1568-7864,1568-7856,3,3
Epigenomics,FUTURE MEDICINE LTD,1750-1911,1750-192X,3,4
PHARMACOGENOMICS JOURNAL,SPRINGERNATURE,1470-269X,1473-1150,2.9,3
CLINICAL GENETICS,WILEY,0009-9163,1399-0004,2.9,3
Epigenetics,TAYLOR & FRANCIS INC,1559-2294,1559-2308,2.9,3
IMMUNOGENETICS,SPRINGER,0093-7711,1432-1211,2.9,4
Frontiers in Genetics,FRONTIERS MEDIA SA,N/A,1664-8021,2.8,3
Genes,MDPI,N/A,2073-4425,2.8,3
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,WILEY,1552-4868,1552-4876,2.8,3
PRENATAL DIAGNOSIS,WILEY,0197-3851,1097-0223,2.7,2
MAMMALIAN GENOME,SPRINGER,0938-8990,1432-1777,2.7,4
Genes and Environment,BMC,1880-7046,1880-7062,2.7,4
BEHAVIOR GENETICS,SPRINGER,0001-8244,1573-3297,2.6,3
GENE,ELSEVIER,0378-1119,1879-0038,2.6,3
MOLECULAR BREEDING,SPRINGER,1380-3743,1572-9788,2.6,3
JOURNAL OF HUMAN GENETICS,SPRINGERNATURE,1434-5161,1435-232X,2.6,3
Cancer Genomics & Proteomics,INT INST ANTICANCER RESEARCH,1109-6535,1790-6245,2.6,4
EVOLUTION & DEVELOPMENT,WILEY,1520-541X,1525-142X,2.6,3
International Journal of Genomics,HINDAWI LTD,2314-436X,2314-4378,2.6,4
DNA AND CELL BIOLOGY,"MARY ANN LIEBERT, INC",1044-5498,1557-7430,2.6,4
Application of Clinical Genetics,DOVE MEDICAL PRESS LTD,N/A,1178-704X,2.6,3
MUTAGENESIS,OXFORD UNIV PRESS,0267-8357,1464-3804,2.5,4
Physiological Genomics,AMER PHYSIOLOGICAL SOC,1094-8341,1531-2267,2.5,4
CHROMOSOMA,SPRINGER,0009-5915,1432-0886,2.5,3
Epigenomes,MDPI,N/A,2075-4655,2.5,4
Briefings in Functional Genomics,OXFORD UNIV PRESS,2041-2649,2041-2657,2.5,4
FUNGAL GENETICS AND BIOLOGY,ACADEMIC PRESS INC ELSEVIER SCIENCE,1087-1845,1096-0937,2.4,3
CHROMOSOME RESEARCH,SPRINGER,0967-3849,1573-6849,2.4,3
GENESIS,WILEY,1526-954X,1526-968X,2.4,3
BMC Ecology and Evolution,BMC,N/A,2730-7182,2.3,3
MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,ELSEVIER,1383-5718,1879-3592,2.3,4
MOLECULAR GENETICS AND GENOMICS,SPRINGER HEIDELBERG,1617-4615,1617-4623,2.3,3
GENOME,CANADIAN SCIENCE PUBLISHING,0831-2796,1480-3321,2.3,4
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,WILEY,0893-6692,1098-2280,2.3,4
International Journal of Immunogenetics,WILEY,1744-3121,1744-313X,2.3,4
Comparative Biochemistry and Physiology D-Genomics & Proteomics,ELSEVIER SCIENCE INC,1744-117X,1878-0407,2.2,3
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,"MARY ANN LIEBERT, INC",1536-2310,1557-8100,2.2,4
Plant Gene,ELSEVIER,2352-4073,2352-4073,2.2,4
BMC Medical Genomics,BMC,N/A,1755-8794,2.1,4
G3-Genes Genomes Genetics,OXFORD UNIV PRESS INC,2160-1836,2160-1836,2.1,4
HEREDITAS,BMC,1601-5223,1601-5223,2.1,4
JOURNAL OF EVOLUTIONARY BIOLOGY,WILEY,1010-061X,1420-9101,2.1,3
BIOCHEMICAL GENETICS,SPRINGER/PLENUM PUBLISHERS,0006-2928,1573-4927,2.1,4
CONSERVATION GENETICS,SPRINGER,1566-0621,1572-9737,2,3
JOURNAL OF MOLECULAR EVOLUTION,SPRINGER,0022-2844,1432-1432,2,4
JOURNAL OF APPLIED GENETICS,SPRINGER HEIDELBERG,1234-1983,2190-3883,2,4
Lifestyle Genomics,KARGER,2504-3161,2504-3188,2,4
Tree Genetics & Genomes,SPRINGER HEIDELBERG,1614-2942,1614-2950,1.9,3
BMC Genomic Data,BMC,N/A,2730-6844,1.9,4
Journal of Genetic Counseling,WILEY,1059-7700,1573-3599,1.9,4
VIRUS GENES,SPRINGER,0920-8569,1572-994X,1.9,4
ANIMAL GENETICS,WILEY,0268-9146,1365-2052,1.8,4
PLASMID,ACADEMIC PRESS INC ELSEVIER SCIENCE,0147-619X,1095-9890,1.8,4
Molecular Genetics and Metabolism Reports,ELSEVIER,N/A,2214-4269,1.8,4
EVOLUTIONARY ECOLOGY,SPRINGER,0269-7653,1573-8477,1.8,3
JOURNAL OF NEUROGENETICS,TAYLOR & FRANCIS LTD,0167-7063,1563-5260,1.8,4
CURRENT GENETICS,SPRINGER,0172-8083,1432-0983,1.8,4
Familial Cancer,SPRINGER,1389-9600,1573-7292,1.8,4
CURRENT GENOMICS,BENTHAM SCIENCE PUBL LTD,1389-2029,1875-5488,1.8,4
Pharmacogenetics and Genomics,LIPPINCOTT WILLIAMS & WILKINS,1744-6872,1744-6880,1.7,4
GENETIC EPIDEMIOLOGY,WILEY,0741-0395,1098-2272,1.7,4
NEUROGENETICS,SPRINGER,1364-6745,1364-6753,1.7,4
AMERICAN JOURNAL OF MEDICAL GENETICS PART A,WILEY,1552-4825,1552-4833,1.7,3
GENETICS AND MOLECULAR BIOLOGY,SOC BRASIL GENETICA,1415-4757,1678-4685,1.7,4
CYTOGENETIC AND GENOME RESEARCH,KARGER,1424-8581,1424-859X,1.7,4
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,WILEY,1552-4841,1552-485X,1.6,4
European Journal of Medical Genetics,ELSEVIER,1769-7212,1878-0849,1.6,4
Genes & Genomics,SPRINGER,1976-9571,2092-9293,1.6,4
MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,ELSEVIER,1386-1964,1879-2871,1.5,4
Journal of Community Genetics,SPRINGER HEIDELBERG,1868-310X,1868-6001,1.5,4
Molecular Genetics & Genomic Medicine,WILEY,2324-9269,2324-9269,1.5,4
CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION,BEGELL HOUSE INC,1045-4403,2162-6502,1.5,4
PSYCHIATRIC GENETICS,LIPPINCOTT WILLIAMS & WILKINS,0955-8829,1473-5873,1.5,4
Current Genetic Medicine Reports,SPRINGERNATURE,N/A,2167-4876,1.4,4
Cancer Genetics,ELSEVIER SCIENCE INC,2210-7762,2210-7770,1.4,4
Genetics Research,HINDAWI LTD,0016-6723,1469-5073,1.4,4
JOURNAL OF GENETICS,INDIAN ACAD SCIENCES,0022-1333,0973-7731,1.4,4
